,acc,clf,data,f1,feat_generator,tacc
149,0.3333333333333333,bnb,4-balanced,0.17051859653228796,hash_ng2,0.3333333333333333
150,0.5094339622641509,sgd,4-balanced,0.5095297992065141,hash_ng2,0.5094339622641509
151,0.40670859538784065,KNN,4-balanced,0.40173279593969247,hash_ng2,0.40670859538784065
152,0.4989517819706498,Logistic Regression,4-balanced,0.49388069703975795,hash_ng3,0.4989517819706499
153,0.5157232704402516,Passive Aggresive,4-balanced,0.5145233758348512,hash_ng3,0.5157232704402516
154,0.5220125786163522,SVM,4-balanced,0.5203781807773231,hash_ng3,0.5220125786163522
155,0.49475890985324944,Perceptron,4-balanced,0.49173571050305975,hash_ng3,0.4947589098532495
156,0.3333333333333333,bnb,4-balanced,0.16666666666666666,hash_ng3,0.3333333333333333
157,0.5178197064989517,sgd,4-balanced,0.5124469225391839,hash_ng3,0.5178197064989518
158,0.41090146750524104,KNN,4-balanced,0.4045601986869176,hash_ng3,0.4109014675052411
159,0.36687631027253664,Logistic Regression,4-balanced,0.3184795529011457,delta_tfidf1,0.3668763102725367
160,0.35639412997903563,Passive Aggresive,4-balanced,0.3188011795931497,delta_tfidf1,0.35639412997903563
161,0.3710691823899371,SVM,4-balanced,0.32374598598231746,delta_tfidf1,0.3710691823899371
162,0.37106918238993714,Perceptron,4-balanced,0.3374479958468185,delta_tfidf1,0.3710691823899371
163,0.33962264150943394,bnb,4-balanced,0.2169284204167925,delta_tfidf1,0.33962264150943394
164,0.3941299790356394,sgd,4-balanced,0.3529384197080965,delta_tfidf1,0.3941299790356394
165,0.350104821802935,KNN,4-balanced,0.22814918803453946,delta_tfidf1,0.350104821802935
166,0.36687631027253664,Logistic Regression,4-balanced,0.3184795529011457,delta_tfidf2,0.3668763102725367
167,0.36687631027253664,Passive Aggresive,4-balanced,0.32935375443937087,delta_tfidf2,0.3668763102725367
168,0.3710691823899371,SVM,4-balanced,0.32374598598231746,delta_tfidf2,0.3710691823899371
169,0.37106918238993714,Perceptron,4-balanced,0.3374479958468185,delta_tfidf2,0.3710691823899371
170,0.33962264150943394,bnb,4-balanced,0.2169284204167925,delta_tfidf2,0.33962264150943394
171,0.3752620545073375,sgd,4-balanced,0.3338427676797968,delta_tfidf2,0.3752620545073375
172,0.350104821802935,KNN,4-balanced,0.22814918803453946,delta_tfidf2,0.350104821802935
173,0.36687631027253664,Logistic Regression,4-balanced,0.3184795529011457,delta_tfidf3,0.3668763102725367
174,0.35639412997903563,Passive Aggresive,4-balanced,0.3193332397489068,delta_tfidf3,0.35639412997903563
175,0.3710691823899371,SVM,4-balanced,0.32374598598231746,delta_tfidf3,0.3710691823899371
176,0.37106918238993714,Perceptron,4-balanced,0.3374479958468185,delta_tfidf3,0.3710691823899371
177,0.33962264150943394,bnb,4-balanced,0.2169284204167925,delta_tfidf3,0.33962264150943394
178,0.36687631027253664,sgd,4-balanced,0.32386079069308876,delta_tfidf3,0.3668763102725367
179,0.350104821802935,KNN,4-balanced,0.22814918803453946,delta_tfidf3,0.350104821802935
